16:45:24.698 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:45:34.701 [Thread-0] ERROR com.gsmart.pipeline.DataPipeline - Tentativa de reconexão falhou: Connect timed out
16:45:34.702 [Thread-0] INFO  ReconnectionLogger - CONEXÃO PERDIDA - Pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:45:34.702 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Iniciando tentativa de reconexão manual imediata...
16:45:34.702 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Tentando reconectar...
16:45:34.702 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:45:44.704 [Thread-0] ERROR com.gsmart.pipeline.DataPipeline - Tentativa de reconexão falhou: Connect timed out
16:45:44.704 [Thread-0] INFO  ReconnectionLogger - CONEXÃO PERDIDA - Pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:45:49.706 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Tentando reconectar...
16:45:49.706 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:45:59.710 [Thread-0] ERROR com.gsmart.pipeline.DataPipeline - Tentativa de reconexão falhou: Connect timed out
16:45:59.710 [Thread-0] INFO  ReconnectionLogger - CONEXÃO PERDIDA - Pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:46:09.712 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Tentando reconectar...
16:46:09.712 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:46:10.049 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticação bem-sucedida!
16:46:10.146 [Thread-0] INFO  ReconnectionLogger - CONEXÃO RESTABELECIDA - Pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:46:10.147 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Conexão restaurada. Retomando operação normal.
16:46:10.147 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - --- Iniciando novo ciclo de processamento em 2025-07-02T16:46:10.147726-03:00 ---
16:46:10.148 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:46:15.910 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - --- Iniciando novo ciclo de processamento em 2025-07-02T16:46:15.9103909-03:00 ---
